positiveRatio,price,storeName,title
97%,15.50,KOLA自营旗舰店,KOLA 苹果XR钢化膜 iPhone XR钢化膜全屏覆盖玻璃膜 手机贴膜非水凝保护膜6.1英寸 黑色iphoneXR【6.1英寸】
98%,1288.00,屹林宏业数码专营店,Apple airpods 2苹果原装无线蓝牙耳机二代双耳入耳式正品耳机iPhoneX耳机充电盒通用 AirPods 2代（配充电盒） H1芯片 苹果版AirPods 2代（配充电盒） H1芯片
99%,79.00,公牛数码自营旗舰店,公牛（BULL）GN-J710 MFI认证芯片苹果数据线 USB充电器线 抗折断 适用苹果手机iPhoneX/XS MAS/XR/ipad苹果数据线
98%,29.90,ESR自营旗舰店,亿色(ESR) iPhone xs max手机壳苹果xs max保护套 透明全包防摔硅胶软壳超薄男女款抖音同款 零感-白全透明【清透无暇&还原裸机】
99%,29.90,CHOETECH旗舰店,CHOETECH 苹果数据线MFi认证手机充电线器iPhone6s7/8Plus/X/XR/XS通用 MFi认证【白色1.2米】MFi认证【白色1.2米】
99%,36.00,卡斐乐旗舰店,卡斐乐 数据线三合一 苹果充电线安卓type-c一拖三iphone华为小米伸缩车载手机平板通用线 【苹果/安卓/Type-C】三合一数据线-红色【苹果/安卓/Type-C】三合一数据线-红色
98%,9.90,悦可自营旗舰店,悦可（yueke）苹果8plus/7plus手机壳 iphone8plus/7plus防摔 硅胶全透明软壳全包-5.5英寸【5.5寸】i8/7p防摔软壳-透明
100%,7.90,朗客自营旗舰店,朗客 苹果数据线iPhone充电线弯头快充0.5米Xs Max/XR/X/8适用于苹果5/6S/7/8Plus iPad Air/Pro 白色0.5米（一条装）快充苹果线
99%,39.90,京造官方旗舰店,京造 MFi认证苹果数据线/充电线 支持iphone Xs/Xs max/Xr/X/8/7P/5/6s/SE/ipad air mini 1.2米白
98%,118.00,峰铭轩数码专营店,NYA【次日达】苹果耳机手机线控入耳式通话 适用于iPhone7/8plus/X xs max耳塞 Lightning苹果7/8/X/XS扁头耳机
98%,29.00,倍思（Baseus）自营旗舰店,倍思（Baseus）苹果X手机壳 iphoneX明灿手机保护套 防摔超薄电镀硬壳 全包时尚透明不发黄抖音保护套 黑色【透背硬壳】黑边
94%,39.90,金合辉手机配件专营店,【自营次日达】苹果充电器手机充电头数据线快充套装iphonexs/x/8/6s/7plus/ipad 5W充电器+lightning数据线 承简原装正品5W充电器+lightning数据线 承简原装正品
99%,88.80,锐舞旗舰店,【官方认证】锐舞 苹果数据线手机快充充电器线MFi认证iphoneXs Max/XR/X/8/7/6 睿酷黑 2米【闪电快充·断裂终身包赔】睿酷黑 2米【闪电快充·断裂终身包赔】
93%,35.00,科林纳数码专营店,苹果X/XS/XR水凝膜iPhone XS Max钢化膜手机膜防窥膜贴膜前后膜背膜软膜全屏防指纹蓝光 苹果XS Max【高清款-抗指纹】2片装-水凝膜苹果XS Max【高清款-抗指纹】2片装-水凝膜
98%,39.90,领臣自营旗舰店,领臣 桌面手机支架 可调节多功能直播床头懒人支架便携 折叠 苹果iphone华为安卓小米通用手机架 银色手机桌面折叠支架 金属款 银色
97%,58.00,东来也自营旗舰店,东来也 苹果7p/8p手机壳 国潮原创iPhone7p/8p保护套玻璃个性防摔全包软边手机套 送挂绳+支架+壁纸 pandaQ【pandaQ】送挂绳+支架+壁纸
93%,15.50,宾造（Binzao）自营旗舰店,【2片装】宾造 苹果XR钢化膜 iPhone XR钢化膜全屏覆盖玻璃膜 手机保护贴膜6.1英寸 黑色【发2片】苹果XR
99%,298.00,贝尔金自营旗舰店,贝尔金（BELKIN）7.5W苹果无线充电器快充原装适用于iPhone X/XS/XR iPhone 8/8Plus/ 智能识别异物安全充电
99%,49.90,亿色东方丝路专卖店,【买1送1】亿色苹果X/XS/XR钢化膜iphone Xs Max全屏覆盖抗蓝光玻璃手机前后背镜头膜 【买1送1 X/Xs通用】高清款-隐形防爆钻石膜【买1送1 X/Xs通用】高清款-隐形防爆钻石膜
97%,98.00,PALOVUE官方旗舰店,苹果耳机lightning接口入耳式MFi认证适用于iPhone8/7/6/6s/X/Plus 苹果MFi认证扁头接口-palovue原装正品苹果MFi认证扁头接口-palovue原装正品
97%,69.90,ESR自营旗舰店,亿色(ESR)iphone xs max钢化膜 苹果xs max钢化膜 高清自营蓝宝石级防爆膜 全屏覆盖6.5英寸玻璃前膜-含神器高清钻石膜-升级防爆裂-送贴膜器
98%,39.90,ESR自营旗舰店,亿色(ESR)苹果X/XS钢化膜 iphoneXS钢化膜【5倍防爆裂】高清全玻璃非全覆盖前膜-5.8英寸XS/X通用【含神器】
99%,45.00,ZMOVERT旗舰店,ZMOVERT 苹果xr手机壳 iPhone XR/X/XS/XS Max超薄磨砂防摔保护套 苹果XR【透黑色-送钢化膜】苹果XR【透黑色-送钢化膜】
99%,48.80,SSIOIZZ旗舰店,【自营仓次日达】苹果充电器插头手机数据线套装快充电线iphonexs/XR/x/8/6s/7plus 充电头+lightning数据线 适用原装正品插孔充电头+lightning数据线 适用原装正品插孔
98%,29.90,ESR自营旗舰店,亿色(ESR) iphone xr手机壳苹果xr手机外壳 XR保护套硅胶软壳透明全包防摔抖音同款 零感-白全透明【清透无暇&还原裸机】
99%,28.00,品胜自营旗舰店,品胜 苹果/Type-c/安卓数据线 一拖三充电线1米 iPhoneXs Max/XR小米9华为P30 Pro 三合一多功能电源线 白一拖三 1米 白色
89%,22.90,HotFire自营旗舰店,HotFire iPhoneXR防窥钢化膜 苹果XR防偷看钢化膜 高清全屏手机贴膜 6.1英寸 黑色防窥膜
96%,19.90,蜂翼自营旗舰店,蜂翼 苹果XR钢化膜9D弧边iPhoneXR全屏高清覆盖防爆全玻璃手机膜-黑色高清钢化膜9D弧边-黑色
96%,35.90,插画师自营旗舰店,插画师 苹果XS Max钢化膜 iphoneXS Max钢化膜 全屏全覆盖高清iPhone防爆防指纹苹果手机玻璃前膜(含贴膜器)【真9D不碎边】高清全屏-送神器
97%,66.00,汇惠数码专营店,品胜双USB口充电器+尼龙数据线套装12W快充适用苹果iphone7/8/X/6S ipad平板电脑 双U充电头+1条苹果线(银灰色)双U充电头+1条苹果线(银灰色)
97%,79.00,倍思（Baseus）自营旗舰店,倍思 手机游戏手柄吃鸡神器iphonexs/xr/8P/7/6splus手机壳苹果小米绝地求生oppo华为vivo散热器万能配件 黑
97%,49.00,网易智造自营旗舰店,网易严选 网易智造 苹果X/Xs钢化膜 3D全屏高清 iPhoneX/Xs手机膜 全覆盖 防爆防指纹 钢化玻璃膜 黑色黑色
99%,19.00,KEKLLE自营旗舰店,KEKLLE 苹果6S/6手机壳保护套 iPhone6S/6手机套 全包硅胶磨砂防摔轻薄软壳男女款-不漏标 4.7英寸  绅士黑4.7英寸 磨砂软壳-6/6S 绅士黑
99%,35.90,图拉斯旗舰店,图拉斯 苹果数据线充电线iPhone6s/8/7plus/X/Xs Max/XR手机ipad平板快充 1.2m牛仔蓝-镀金接口 升级加固款
99%,95.00,亿色东方丝路专卖店,【自营仓送】亿色苹果无线充电器iPhoneX/Xs Max/XR/8/8plus三星手机QI快充底座 【7.5w 苹果 专用】快充款睿黑【7.5w 苹果 专用】快充款睿黑
96%,58.00,第一卫旗舰店,第一卫苹果耳机转接头iphone7p手机转换器lightning充电听歌二合一音频转换头xr/x8 【升级款】双lightning丨充电听歌通话线控【升级款】双lightning丨充电听歌通话线控
98%,8.90,凯普世自营官方旗舰店,【次日达】苹果手机数据线 快充XS/max/XR/X/8/7/6手机充电器电源线 1米白 适用iPhone xs/xr/max/8/7/6/5【白色】经典简约数据线（1米）
99%,45.00,图拉斯旗舰店,【自营仓】图拉斯 iPhonex/xr/xsmax手机壳苹果X保护套硅胶全包防摔磨砂软壳液态硅胶手感 【苹果XR】星空黑-磨砂抗指纹-送钢化膜【苹果XR】星空黑-磨砂抗指纹-送钢化膜
97%,88.00,0度（PERFECTSIGHT） 自营旗舰店,美国0度 苹果xs max手机壳 iPhone XS max磨砂透明保护套防指纹简约硬壳硅胶边全包防摔（黑色xsmax）黑色
98%,35.90,ROCK自营旗舰店,ROCK 苹果充电器套装 苹果数据线+iPhoneXS/max/XR/X/8Plus/7/6s安卓原装华为手机平板2A快充插头 双口红【2.1A双口】苹果充电套装 红色
99%,37.90,绿联自营旗舰店,绿联 3.1A多口充电器 通用华为苹果iphoneXs Max安卓荣耀小米三星手机ipad平板 5V2a双USB两口快充插头 306365V3.1A双口充电头 不带线
99%,138.00,绿联旗舰店,绿联 投屏器连接电视投影同屏器高清HDMI转接头数据线适用苹果iPhoneXs876s华为小米9手机 深灰色 1.5米
93%,88.00,倍思（Baseus）自营旗舰店,倍思 蓝牙耳机 磁吸入耳式 无线运动蓝牙线控耳机 音乐耳机 可通话 超长续航苹果iphone华为小米手机耳机 黑S17【蓝牙5.0】环绕立体声 黑
98%,35.90,TOTU旗舰店,【次日达】苹果耳机入耳式有线手机耳塞线控适用iPhone6s/7/8p/Xr/Xs MAX/iPad 苹果安卓通用【圆口-3.5mm接口】TOTU原装苹果安卓通用【圆口-3.5mm接口】TOTU原装
99%,99.00,DOSS官方旗舰店,DOSS（德仕）小度版AI智能运动蓝牙耳机 颈挂式降噪磁吸无线入耳式苹果iPhoneXS安卓小米华为 （神秘黑）小度内置版（神秘黑）小度内置版
100%,128.00,绿联UGREEN三顺专卖店,绿联 苹果充电宝10000毫安移动电源自带线MFi认证iPhoneX/Xs/8plus大容量超薄便携 玫瑰红色玫瑰红色
99%,22.90,倍思（Baseus）自营旗舰店,倍思 一拖三数据线三合一苹果/Type-c/安卓iPhoneXS max/XR/6splus/ipadpro华为p20小米手机充电器线1.2米 蓝
94%,34.00,卡斐乐官方自营旗舰店,卡斐乐 磁吸苹果数据线 iphone Xs Max/XR/X/8/7Plus手机快充充电线USB电源线 适用iphone/ipad 2米 黑色磁吸苹果数据线2米 黑色
97%,39.90,插画师自营旗舰店,插画师iphone xr手机壳 苹果xr手机外壳 XR保护套自营超薄防摔防滑磨砂硬壳夜光全包防摔创意男女款-水母
99%,39.00,摩斐旗舰店,【极速达】摩斐 苹果6s plus手机壳 iPhone6s/6/8/7 plus玻璃壳保护套防摔 亮面黑- (6/6splus 5.5英寸)亮面黑- (6/6splus 5.5英寸)
98%,19.80,爱美声旗舰店,爱美声 【买一送一】苹果数据线 iPhoneXS/XR/X/6s/7plus/8p手机快充充电器线 中国红(1.5米)中国红(1.5米)
99%,35.90,领臣自营旗舰店,领臣 苹果充电器多口双USB充电头+三合一手机数据线充电套装适用苹果iphone安卓/小米/华为/三星1.2米
97%,13.90,Smorss自营旗舰店,【3片装】Smorss 苹果8/7/6/6s钢化膜 iphone8/7/6s/6钢化玻璃膜 非全屏覆盖高清防爆手机贴膜苹果8/7/6s/6通用
98%,34.00,飞美特数码专营店,【送后膜】索弘苹果7手机膜水凝膜iphone7plus手机膜苹果8plus钢化膜全屏覆盖软膜前后膜 苹果7p/8plus【前膜2片】送【水凝后膜】苹果7p/8plus【前膜2片】送【水凝后膜】
99%,42.90,图拉斯旗舰店,图拉斯 三合一数据线 苹果安卓Type-C手机充电器线一拖三iphone华为三星小米平板车载便携快充 1.68米 限量款幸运红【三头同充 / 省时便捷】1.68米 限量款幸运红【三头同充 / 省时便捷】
98%,29.00,毕亚兹(BIAZE)自营旗舰店,毕亚兹 iphone xr钢化膜 苹果xr钢化膜【电竞级 全屏6D防碎边】全覆盖防爆玻璃 6.1英寸高清手机贴膜 JM481黑XR 防指纹MVP一体隐形膜★黑
99%,65.00,欣普数码专营店,公牛原装充电器头苹果6s通用iphoneXR/8/7plus多口充电头5v2a华为安卓智能防过充 双USB口【自动防过充】 赠三合一充电线
96%,19.00,梵帝西诺（VDSN）自营旗舰店,【两件装】梵帝西诺 Type-C苹果转接头 Type-C转Lightning苹果充电数据线 支持iphoneX/XS Max/XR/8/7/6Plus
99%,19.90,ROCK自营旗舰店,ROCK 苹果数据线 金属编织快充手机充电线 支持原装iPhoneXS/max/XR/X/8Plus/7/6s/5s/iPad 1米 星空灰【金属编织线】星空灰-1米
98%,1158.00,盛力数码专营店,苹果（Apple） Apple AirPods2蓝牙无线耳机2代 适用ipad2代/iphone 2代有线充电版【标配】限时送漫威正版保护套2代有线充电版【标配】限时送漫威正版保护套
99%,12.90,绿联自营旗舰店,绿联 充电器 通用苹果iphoneXs Max/XR/X/8/8Plus/7/6/se安卓手机 USB数据线插头 5V/1A快速电源适配器 50714苹果充电器【5V/1A】
99%,27.00,倍思（Baseus）自营旗舰店,倍思（Baseus）苹果数据线弯头快充王者手机游戏L型苹果充电线USB线适用于iPhoneX/10/8/6s/7Plus 2米 黑色弯头手游【苹果线】加长2米 黑色
95%,46.90,珀璃（Ponli）手机配件自营旗舰店,珀璃ponli 苹果x防窥膜 iphoneX防偷看钢化膜 全屏覆盖双曲面防指纹保护膜 无白边手机保护贴膜X全屏【防窥款】☆无白边
95%,46.90,珀璃（Ponli）手机配件自营旗舰店,珀璃ponli 苹果x防窥膜 iphoneX防偷看钢化膜 全屏覆盖双曲面防指纹保护膜 无白边手机保护贴膜X全屏【防窥款】☆无白边
99%,37.00,观悦自营旗舰店,观悦 苹果7/8plus手机壳 iPhone7/8Plus保护套磨砂硅胶软壳全包防摔指环支架壳 5.5英寸-星空黑（7p/8plus通用）送钢化膜5.5英寸-星空黑（7p/8plus通用）送钢化膜
97%,19.00,倍思（Baseus）自营旗舰店,倍思（Baseus）iPhone XS Max钢化后膜 苹果XS Max钢化背膜 高清防爆抗指纹非全屏玻璃手机贴膜6.5英寸 透明全玻璃【背膜防护】高清
99%,128.00,绿联旗舰店,绿联 苹果充电宝10000毫安自带线移动电源超薄适用iPhoneX/XsMax/XR/8/7/6手机 薄荷绿
96%,25.00,珠峰讯通讯专营店,NewFeel 磁吸数据线苹果充电线车载自吸头磁铁磁力安卓type-c华为vivo通用iphone 直头-黑色1米 安卓头直头-黑色1米
93%,45.00,倍思（Baseus）自营旗舰店,倍思 苹果耳机转接头 iphone7plus/X/xs/XR/Max转接线8音频转换器lightning+3.5mm三合一充电/听歌/线控 黑三合一转接头-充电/听歌/线控-黑
99%,89.00,机乐堂旗舰店,机乐堂 苹果无线充电器iPhoneX/Xs Max/8plus安卓三星华为手机车载QI快充专用底座r 酷睿黑【自动断电 快充不发烫】苹果原配款酷睿黑【自动断电 快充不发烫】苹果原配款
99%,39.00,倍思（Baseus）自营旗舰店,倍思 双苹果数据线一拖四快充iphoneXS MAX三合一华为type-c小米oppo安卓vivo手机Micro平板车载多头充电器线【双苹果/安卓/Type-c】一拖四
98%,69.90,优康仕旗舰店,UCOMX 蓝牙耳机迷你超小隐形真无线运动入耳式车载商务超长待机音乐适用苹果iPhone小米华为通用 黑色【1000毫安充电舱*真无线*真隐形】黑色【1000毫安充电舱*真无线*真隐形】
97%,135.00,倍思（Baseus）自营旗舰店,倍思 手机镜头苹果微距iPhone6s抖音神器7p/8/XSMAX摄像头鱼眼通用单反拍照高清华为三合一套装plus后置 黑【广角+微距+鱼眼】升级款 黑
99%,49.80,monqiqi旗舰店,【买1送1】蒙奇奇 iphonex/xs/xr钢化膜苹果xs max手机膜全屏复盖抗蓝光玻璃前后背膜 X/Xs【高清款】真9D一体全玻璃【买一送一】X/Xs【高清款】真9D一体全玻璃【买一送一】
95%,109.00,倍思（Baseus）自营旗舰店,倍思 苹果无线充 iWatch手表1/2/3代无线充电器 iphone8/x/XS MAX/XR/apple iwatch手机充电器二合一 白色二合一无线充(iphone+iWatch) 白
97%,39.00,ISIDO数码旗舰店,ISIDO 苹果x/xr/xs Max手机壳 iPhone7/8/6splus液态硅胶保护套全包防摔 【酷睿黑】 XR【酷睿黑】
97%,39.00,倍思旗舰店,倍思 苹果耳机转接头iphoneXsmax/7/8plus转换头XR苹果耳机充电听歌语音线控四合一 【静谧黑】lightning+3.5mm-充电听歌【静谧黑】lightning+3.5mm-充电听歌
95%,109.00,索弘自营旗舰店,苹果耳机有线入耳式手机苹果iphone8/7/8p/7p/X/XR/ipad/XSmax耳机线控耳塞 Lightning扁头适用原装正品接口
97%,145.00,天科数码专营店,【自营仓送】苹果蓝牙耳机2代无线耳机双耳蓝牙5.0触控迷你运动跑步iphone7/8/x小米华为通用 【触控版 蓝牙5.0】迷你小巧 大容量续航
98%,89.90,ROCK自营旗舰店,ROCK 苹果无线充电器 7.5W/10W快充桌面支架 适用原装iPhoneXS/Max/XR/8Plus/三星S10+小米9华为底座 黑色
98%,18.90,KEKLLE自营旗舰店,KEKLLE 苹果XR手机壳 iPhone xr手机保护套 透明全包防摔硅胶软壳 气囊转音款 透明6.1英寸【气囊防摔转音款】透明
99%,39.90,ROCK自营旗舰店,ROCK MFi认证 苹果数据线 快充手机充电器线 支持原装iPhoneXS/max/XR/X/8Plus/7/6s/5s/iPad 1米经典黑2.4A快充【MFi认证】-典雅黑-1米
98%,19.90,磊威旗舰店,磊威 苹果8/7钢化膜适用于iPhone8/7/6s/Plus3D全覆盖高清抗蓝光手机贴膜 8P/7P/5.5【新3D全屏高清】白色8P/7P/5.5【新3D全屏高清】白色
98%,69.90,ESR自营旗舰店,亿色(ESR)苹果X/XS钢化膜 iphoneXS钢化膜 【蓝宝石级防爆】高清全覆盖玻璃前膜-5.8英寸XS/X通用【含神器】高清钻石膜-升级防爆裂-送贴膜器
98%,39.00,网易智造自营旗舰店,网易严选 网易智造 iPhone XR苹果手机壳 iPhone XR保护套 空气感超薄0.4mm手机套 全包软壳男女 黑清透黑
100%,59.00,公牛鑫楚天专卖店,公牛充电器快充苹果充电头自动防过充usb插头iPhoneX/Xs Max/8plus华为安卓平板通用 自动断电防过充快充充电头＋送 苹果&安卓三合一线
100%,128.00,诺印旗舰店,【官方认证|次日送达】诺印苹果X/XS/XR钢化膜防窥膜iPhonexs Max全屏覆盖防偷看手机膜 5.8寸X/XS通用【黑钻30防窥膜】5.8寸X/XS通用【黑钻30°防窥膜】
98%,122.00,XAXR家用电器自营旗舰店,XAXR I11无线蓝牙耳机5.0 无线充电 弹窗连接 运动双耳耳塞式适用于iPhone X/XR小米重低音迷你安卓通用 白色
99%,49.00,Benks自营旗舰店,邦克仕(Benks)苹果iPhoneXS Max手机壳 全包气囊防摔撞色手机保护壳 硅胶边框保护套 磨砂手感防指纹 黑色苹果XS Max磨砂黑
99%,178.00,大康数码旗舰店,Dacom 蓝牙耳机5.0无线双耳入耳式迷你真无线运动适用苹果iPhone安卓华为小米手机通用 触控版【蓝牙5.0 智能触控 千元1：1】触控版【蓝牙5.0 智能触控 千元1：1】
94%,21.90,Smorss自营旗舰店,Smorss 苹果xr手机壳 iPhone xr 保护套无边框超薄双面磨砂 防摔硬壳男女款 (配送指环扣) 石墨黑苹果XR专用
99%,25.00,毕亚兹(BIAZE)自营旗舰店,毕亚兹 苹果XR手机壳 iPhoneXR保护套 6.1英寸 全包防摔透明硅胶TPU软壳 男女款 清爽系列 JK463-透明白轻薄手感【还原裸机】透明白
98%,29.00,讯迪旗舰店,【送钢化膜】讯迪 苹果xr/x/xs手机壳 iphonexsmax保护套全包防摔硅胶透明男女保护壳 iPhone XR【炫酷黑】送钢化膜iPhone XR【炫酷黑】送钢化膜
97%,39.00,斯泰克（stiger）影音自营旗舰店,斯泰克 苹果手机耳机 线控带麦克风入耳式重低音立体声耳塞 适用苹果iPhone6s/Plus iPad Air/Pro/Mini立体声耳机【3.5接口 爆款】
99%,78.00,YOUMAKER旗舰店,YOUMAKER美国 苹果X/XS/XR手机壳iPhone XsMax透明防摔保护套超薄外壳男女 苹果XR【黑色】6.1英寸苹果XR【黑色】6.1英寸
99%,55.00,亿色东方丝路专卖店,亿色苹果数据线PD快充线iphone手机充电器线官方MFI认证Type-CtoLightning 经典款-白色【MFI认证 半小时充电50%】经典款-白色【MFI认证 半小时充电50%】
97%,59.00,星月葵手机配件专营店,USB苹果数据线ipad充电器线适用iPhone6s/X/7plus/8手机快充Xs Max/XR 苹果数据线适用于原装正品lightning插口
99%,105.00,第一卫旗舰店,第一卫 移动电源苹果充电宝iphone6s/7/8 plus背夹电池充电手机壳超薄大容量xr电池xs 6/6S【磨砂黑】大容量5000毫安6/6S【磨砂黑】大容量5000毫安
99%,49.90,ESR自营旗舰店,亿色（ESR）运动腰包 跑步骑行登山手机腰带 手机多功能收纳袋 适用于iPhone Xs/X/8/8P/7 魔力黑-L码
99%,49.90,绿联自营旗舰店,绿联 MFi认证 苹果数据线Xs Max/XR/X/8/7手机快充充电器线USB电源线 通用iphone5/6s/7Plus/ipad 2米20730白MFi认证-苹果数据线-白色2米
97%,22.90,YOMO自营旗舰店,YOMO 苹果安卓type-c数据线三合一快充手机一拖三充电器线 iPhoneXsMax/XR/8/7/小米华为车载USB电源线 黑【爆款】 速冲一拖三数据线
97%,59.00,绿联旗舰店,【秒杀抢购中】绿联 大容量电池 适用iPhone6/6s苹果六手机电池标准 内置专用电池 iPhone6s手机电池-1715mAhiPhone6s手机电池-1715mAh
96%,16.90,ROCK自营旗舰店,洛克（ROCK）手机指环扣 金属桌面懒人支架 可搭车载磁吸支架用 支持苹果iPhoneXS Max华为小米通用 经典黑【轻薄隐形】金属指环支架
96%,19.90,领臣自营旗舰店,领臣 手机指环扣 金属桌面床头懒人支架 iPhone 8 Xs Max 苹果华为安卓小米通用 可搭车载磁吸支架
98%,69.00,南孚手机配件自营旗舰店,南孚(NANFU)Iphone8P/X/XR/Xs Max三星S10华为 苹果7.5W/安卓10W快充无线充电器AirPods2 快充底座
99%,28.00,机乐堂旗舰店,机乐堂 苹果7钢化膜iphone7/8/6s plus全屏覆盖钢化玻璃膜6抗蓝光防爆防窥手机镜头贴膜 苹果7/8【9D全覆盖】高清【黑色】（买一送一）苹果7/8【9D全覆盖】高清【黑色】（买一送一）
99%,15.00,品色手机专营店,品胜 苹果4s数据线 iphone4 ipad2 ipad3 touch4手机数据充电器线 0.8米苹果数据线 支持ios90.8米苹果数据线 支持ios9
97%,79.00,SPIGEN自营旗舰店,SPIGEN 苹果XR手机壳 iPhone XR保护套液态硅胶磨砂防摔保护壳男女纯色潮牌手机软壳 黑色黑色
99%,118.00,意创生活旗舰店,意创生活 广角手机镜头外置摄像头微距鱼眼通用高清自拍照抖音神器单反专业拍摄苹果iphoneX/8华为 豪华版无畸变【 广角+微距】二合一 黑色豪华版无畸变【 广角+微距】二合一 黑色
99%,199.00,牧士（MUSICSOOTH）自营旗舰店,牧士【买一副送一副】M3 真无线蓝牙耳机适用苹果iphone7/8/XR华为小米入耳式Air运动迷你双耳Pods2手机耳机
99%,33.00,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果充电器 双口USB插头+苹果数据线两条 适用iPhoneX/XS MAX/8Plus/7/6sP/iPad4充电线套装 白
99%,29.90,图拉斯旗舰店,图拉斯 iPhone7/6s/8钢化膜苹果7Plus全屏全覆盖9D抗蓝光防爆玻璃手机贴膜 7P/8P/6P/6sPlus【黑色】高清款7P/8P/6P/6sPlus【黑色】高清款
88%,39.90,酷蛙旗舰店,酷蛙 苹果耳机转接头iphone6/7/8plus/xs max/R二合一音频转换器充电听歌分接口 充电听歌-Lighting+3.5MM（二合一）充电听歌-Lighting+3.5MM（二合一）
99%,125.00,图拉斯旗舰店,【军工防摔认证】图拉斯 iPhoneX/XS手机壳苹果xs max手机壳XR防摔外壳磨砂防指纹保护套 6.5英寸【XS Max】精英黑-磨砂手感-限量版6.5英寸【XS Max】精英黑-磨砂手感-限量版
99%,58.00,贝利尔官方旗舰店,Belier 苹果充电器套装iphoneXs Max/XR数据线X/8/7/6s/ Plus快充插头 苹果充电器+数据线1米套装适用原装手机苹果充电器+数据线1米套装适用原装手机
99%,139.00,UAG自营旗舰店,UAG iPhone Xs/X (5.8英寸)通用  防摔手机壳/保护套 探险者系列 白色探险白
95%,249.00,悦迪自营旗舰店,悦迪 原装正品无线蓝牙耳机 苹果iPhone6/7/8/X 双耳入耳式防水商务运动手机通用版 Air Xair x pods1:1左右耳随意使用
95%,45.00,领臣自营旗舰店,领臣 苹果耳机转接头 iphoneX/8/7充电听歌语音耳机转接线二合一分线器一拖二 白色通话语音直播线控充电【双苹果】
99%,1328.00,集合数码专营店,APPLE苹果 新款AirPods2代/AirPods无线蓝牙耳机吃鸡无延迟支持ipadiPhone 二代AirPods（无线充电盒版） 官方标配二代AirPods（无线充电盒版）
98%,61.20,rurihai官方旗舰店,iPhone苹果X/XR/XSMax  8plus/7p/8/7防偷看钢化膜蓝光防窥全屏保护手机贴膜 苹果X/XS（5.8寸） 紫蓝光防窥膜苹果X/XS（5.8寸） 紫蓝光防窥膜
98%,33.50,闪魔旗舰店,闪魔 iPhone X/Xs/XR钢化膜防窥膜全屏苹果XsMax高清防蓝光 8D防爆磨砂手机贴膜 X/Xs【钻石版^黑色全屏硬边】送神器X/Xs【钻石版^黑色全屏硬边】送神器
97%,89.00,TOTU旗舰店,【当日/次日达】苹果蓝牙耳机 真无线单耳迷你超小双耳运动耳机iPhoneXSMAX小米华为等通用 单耳蓝牙5.0丨触摸按键丨自动配对丨升级不闪灯单耳蓝牙5.0丨触摸按键丨自动配对丨升级不闪灯
97%,98.00,光贝数码专营店,merryle 适用于苹果iphone6/6s plus屏幕总成7显示屏8手机5SE液晶X触摸屏5S 白色 苹果6(4.7寸）带配件白色
97%,35.90,插画师自营旗舰店,插画师 苹果8/7 plus钢化膜 iphone8/7 plus钢化膜 高清全屏覆盖自营手机贴膜 5KG防爆裂玻璃前膜-含神器-黑【曲面全屏】高清黑+神器
99%,118.00,泰火官方旗舰店,次日达 泰火超薄小巧充电宝苹果手机壳iphone6/7/8plus背夹电池XR/XSMAX移动电源 大屏5.5酷黑(8p/7p/6Sp/6p)大容量大屏5.5酷黑(8p/7p/6Sp/6p)大容量
98%,32.00,ESCASE自营旗舰店,ESCASE 苹果7/8plus手机壳iphone8 plus/iphone7plus手机壳全包防摔双料抗摔抗黄变德国进口拜耳TPU 高透【真360°防摔】高透款-德国进口
97%,64.90,绿联自营旗舰店,绿联 30W双口充电器PD18W快充 通用华为苹果iphoneXs Max/XR/8Plus/iPad小米手机平板USB多口Type-C插头50545
99%,168.00,颖果旗舰店,颖果 苹果手机CF卡读卡器 多功能三合一iphone/ipad读卡器 otg相机套件 SD卡TF卡 【iphone/ipad接口】读CF+TF+SD卡【iphone/ipad接口】读CF+TF+SD卡
99%,38.00,神马手机配件专营店,美国YOUMAKER 苹果xr手机壳 iPhonexr透明防摔保护套硅胶全包玻璃硬壳男女外壳抖音款 iPhone xr透明壳+白色镜头保护圈iPhone xr透明壳+白色镜头保护圈
98%,29.00,鑫楚天数码专营店,华为原装充电器插头iPhoneX/Xs Max/XR/8/6s/7plus/ipad苹果手机平板通用 【单头】5V1A充电器
95%,27.90,KEKLLE自营旗舰店,KEKLLE 苹果7/8液态硅胶手机壳 iPhone7/8保护套 新升级四边全包液态硅胶保护套肤感防摔超薄软壳 黑色【液态硅胶款】黑色
95%,28.00,科族数码专营店,磁吸数据线苹果安卓type-c三合一快充华为/oppo/vivo/iPhone X/7/8plus 【幻影黑】苹果/安卓/Type-C 【一线三接头】 线长1米【幻影黑】苹果/安卓/Type-C 【一线三接头】
99%,32.00,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果数据线 手机充电器电源线 折不断iPhone5s/6s/7/8 Plus/X/新iPad/Air/Mini 3/4 深灰+黑 2米【苹果数据线】强韧不断2米 灰黑
98%,39.00,ZMI自营官方旗舰店,ZMI紫米苹果PD快速单C口充电器18W快充头适用iphoneX/Xs/XR/XsMax/8Plus C-C数据线等HA711白色PD充电器(18W)白
100%,25.80,卓帕仕旗舰店,卓帕仕 苹果数据线快充弯头数据线手机充电器线1米/2米 适用iPhoneXS MAX/X/8/7/6 2米【实力黑】弯头快充，提速99%2米【实力黑】弯头快充，提速99%
